,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION
2529,USPS 1050050275    QQQ,DC,PostageServices-GovernmentOnly
2530,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
2531,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2532,NCTM,VA,"MembershipOrganizations,NotElsewhereClassified"
2533,INTUIT *CHECKS / FORMS,CA,ComputerSoftwareStores
2534,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2535,AMAZON.COM,WA,BookStores
2536,SURVEYMONKEY COM,OR,BusinessServicesNotElsewhereClassified
2537,MID STATES OIL,MD,"IndustrialSupplies,NotElsewhereClassified"
2538,HOODS INSTITUTIONAL FO,DC,"Convenience,Deli,SpecialtyFoodStores"
2539,CCSSO,DC,"MembershipOrganizations,NotElsewhereClassified"
2540,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2541,BRENTWORKS INC,DC,"CommercialPhotography,Art&Graphics"
2542,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2543,SENODA INC,DC,MiscellaneousPublishingAndPrinting
2544,SENODA INC,DC,MiscellaneousPublishingAndPrinting
2545,PREMIER OFFICE & MEDIC,DC,"Stationery,Office&SchoolSupplyStores"
2546,AMERICAN TECHNICAL PUB,IL,BookStores
2547,ACE PRESS,DC,"Quick-Copy,ReproductionandBlueprintingServices"
2548,SURVEYMONKEY COM,OR,BusinessServicesNotElsewhereClassified
2549,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2550,STAPLES       00115618,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2551,EFORCITY.COM,CA,DirectMarketing-CatalogMerchants
2552,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2553,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2554,ORIENTAL TRADING CO,NE,DirectMarketing-CatalogMerchants
2555,SCHREIBER TRANSLATIONS,MD,BusinessServicesNotElsewhereClassified
2556,BSC*BRIGGS&STRATTONCOR,WI,"CommercialEquipment,NotElsewhereClassified"
2557,UNITED RENTALS,MD,"Rentals-Tools,EquipmentandFurniture"
2558,INT ASSOC OF FISH AND,DC,AgriculturalCo-operatives
2559,INT ASSOC OF FISH AND,DC,AgriculturalCo-operatives
2560,INT ASSOC OF FISH AND,DC,AgriculturalCo-operatives
2561,INT ASSOC OF FISH AND,DC,AgriculturalCo-operatives
2562,INT ASSOC OF FISH AND,DC,AgriculturalCo-operatives
2563,INT ASSOC OF FISH AND,DC,AgriculturalCo-operatives
2564,PREMIER OFFICE & MEDIC,DC,"Stationery,Office&SchoolSupplyStores"
2565,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
2566,ORB AP220101CWYYPK31,IL,TravelAgenciesandTourOperators
2567,STAPLES       00115329,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2568,STAPLES,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2569,VZWRLSS*ETM NWA0475101,NJ,FAXandTelecommunicationsService
2570,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
2571,FRANKLINCOVEYPRODUCTS,UT,"Stationery,Office&SchoolSupplyStores"
2572,UMCP FIRE AND RESCUE,MD,"GovernmentServices,NotElsewhereClassified"
2573,UMCP FIRE AND RESCUE,MD,"GovernmentServices,NotElsewhereClassified"
2574,HOWARD UNIVERSITY DIST,DC,"Books,PeriodicalsAndNewspapers"
2575,"APPLE COURIER, INC.",DC,SpecialtyRetailStores-Miscellaneous
2576,ALERT ALL CORP,PA,MiscellaneousPublishingAndPrinting
2577,GREY HOUSE PUBLISHING,CT,ProfessionalServicesNotElsewhereDefined
2578,FASTSIGNS,DC,"DurableGoods,NotElsewhereClassified"
2579,MEDTRONIC EMERGENCY RE,WA,"Lab,Medical,Dental,Opthalmic,HospEquip&Supplies"
2580,MOORE MEDICAL LLC HOUS,CT,"MedicalServices,NotElsewhereClassified"
2581,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2582,UTRECHT ART SUPPLIES #,DC,ArtistsSupplyShops
2583,KROLL ONTRACK-USD,MN,DirectMarketing-NotElsewhereClassified
2584,SELECT EVENT RENTALS,MD,SpecialtyRetailStores-Miscellaneous
2585,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2586,MEETINGBRIDGE,CT,FAXandTelecommunicationsService
2587,DPC EMERGENCY EQUIPMEN,DE,MotorVehicleSuppliesAndNewParts
2588,THE ACCOKEEK FOUNDA,MD,CharitableAndSocialServiceOrganizations
2589,ERNEST MAIER INC,MD,Lumber&BuildingMaterialsStores
2590,1800GOFEDEX   10010007,TN,"FreightCarriers,Trucking-Local/LongDistance"
2591,WW GRAINGER,DC,"IndustrialSupplies,NotElsewhereClassified"
2592,SOI*SNAP-ON INDUSTRIAL,WI,HardwareStores
2593,AMERICAN BAR ASSOCIATI,IL,ProfessionalServicesNotElsewhereDefined
2594,AMERICAN BAR ASSOCIATI,IL,ProfessionalServicesNotElsewhereDefined
2595,BELMONT TV,MD,ElectronicSales
2596,DOCUMENT MANAGERS,DC,"Office,Photographic,Photocopy,andMicrofilmEquip"
2597,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
2598,HP DIRECT-PUBLICSECTOR,NE,DirectMarketing-CatalogMerchants
2599,SAGAMORE MECHANICAL SE,MD,"Heating,Plumbing,andAirConditioning"
2600,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
2601,DAS MANUFACTURING INC,FL,SpecialtyRetailStores-Miscellaneous
2602,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2603,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2604,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2605,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2606,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2607,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2608,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2609,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2610,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2611,INTERNATIONAL PARKING,VA,"MembershipOrganizations,NotElsewhereClassified"
2612,UNICOR,KY,"GovernmentServices,NotElsewhereClassified"
2613,EMBASSY SUITES,GA,EmbassySuites
2614,USI ED GOV,CT,DirectMarketing-CatalogMerchants
2615,HYATT HOTELS BETHESDA,MD,HyattHotels
2616,EMBASSY SUITES NEWARK,DE,EmbassySuites
2617,AMAZON.COM,WA,BookStores
2618,OFFICE DEPOT #350,MD,"Stationery,Office&SchoolSupplyStores"
2619,CONSTANT CONTACT,MA,ComputerSoftwareStores
2620,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2621,ELLIOTT & FRANTZ INC,MD,"ConstructionMaterials,NotElsewhereClassified"
2622,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2623,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2624,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2625,UMUC STATESIDE-CC,MD,"College,Universities,ProfessionalSchools"
2626,JACK DANIEL,GA,ProfessionalServicesNotElsewhereDefined
2627,SHADES OF GREEN,FL,Hotels-Lodging(NotListedElsewhere)
2628,SHADES OF GREEN,FL,Hotels-Lodging(NotListedElsewhere)
2629,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2630,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2631,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2632,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2633,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2634,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2635,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2636,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2637,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2638,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2639,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2640,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2641,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2642,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2643,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2644,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2645,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2646,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2647,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2648,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2649,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2650,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2651,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2652,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2653,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2654,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2655,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2656,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2657,METRO WASH AIRPORT Q81,DC,AutomobileParkingLots
2658,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2659,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2660,AMERICAN THERAPEUTIC R,VA,BusinessServicesNotElsewhereClassified
2661,FEDEX KINKO'S #0671,DC,"Quick-Copy,ReproductionandBlueprintingServices"
2662,FEDEX KINKO'S #0671,DC,"Quick-Copy,ReproductionandBlueprintingServices"
2663,WMATA METRO CENTER BUL,DC,Local/SuburbanCommuterTransportation
2664,OFFICE DEPOT #1220,MD,DirectMarketing-Comb.Catalog&RetailMerchants
2665,QUILL CORPORATION,IL,"Stationery,OfficeSupplies,Printing/WritingPaper"
2666,DUPONT COMPUTER INC,DC,ComputerSoftwareStores
2667,CHAMPION TROPHIES INC,DC,SpecialtyRetailStores-Miscellaneous
2668,PAYPAL *NASWDCMETRO,CA,ProfessionalServicesNotElsewhereDefined
2669,CANON FINANCIAL SERVIC,NJ,"Office,Photographic,Photocopy,andMicrofilmEquip"
2670,CANON FINANCIAL SERVIC,NJ,"Office,Photographic,Photocopy,andMicrofilmEquip"
2671,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2672,CDW GOVERNMENT,IL,DirectMarketing-CatalogMerchants
2673,BAYNESVILLE ELECTRONIC,MD,ElectronicSales
2674,PAISLEY CONSULTING INC,MN,ComputerSoftwareStores
2675,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2676,PT ARMOR INC,VA,GeneralMerchandise
2677,PT ARMOR INC,VA,GeneralMerchandise
2678,"EASTERN LIFT TRUCK CO,",MD,ElectricalPartsAndEquipment
2679,STAPLES,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2680,AAA PARTY RENTALS,MD,SpecialtyRetailStores-Miscellaneous
2681,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2682,MUNICIPAL EMERGENCY SE,CT,GeneralMerchandise
2683,M AND M APPLIANCE,DC,GeneralMerchandise
2684,AMERICAN ASSC OF NOTOR,TX,DirectMarketing-NotElsewhereClassified
2685,COLLIFLOWER INC - 03,MD,BusinessServicesNotElsewhereClassified
2686,WASH METRO    00025395,DC,Local/SuburbanCommuterTransportation
2687,REITER'S SCIENTIFIC &,DC,"Books,PeriodicalsAndNewspapers"
2688,MAXIAIDS PO#83615,NY,DirectMarketing-CatalogMerchants
2689,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2690,AMTRAK TEL0406810204742,DC,PassengerRailways
2691,THE CAROUSEL BCHFRNT H,MD,Hotels-Lodging(NotListedElsewhere)
2692,THE CAROUSEL BCHFRNT H,MD,Hotels-Lodging(NotListedElsewhere)
2693,THE CAROUSEL BCHFRNT H,MD,Hotels-Lodging(NotListedElsewhere)
2694,THE CAROUSEL BCHFRNT H,MD,Hotels-Lodging(NotListedElsewhere)
2695,WAREHEIM AIR BRAKES,MD,"AutomotiveParts,AccessoriesStores"
2696,SUNRISE SAFETY SERVICE,MD,"ConstructionMaterials,NotElsewhereClassified"
2697,CANON FINANCIAL SERVIC,NJ,"Office,Photographic,Photocopy,andMicrofilmEquip"
2698,CANON FINANCIAL SERVIC,NJ,"Office,Photographic,Photocopy,andMicrofilmEquip"
2699,CANON FINANCIAL SERVIC,NJ,"Office,Photographic,Photocopy,andMicrofilmEquip"
2700,DOCUMENT MANAGERS,DC,"Office,Photographic,Photocopy,andMicrofilmEquip"
2701,CRISWELL CHEVROLET,MD,Automobile&TruckDealer-New&Used
2702,,,UnknownVendor
2703,UNIV OF WISC LAB HYGIE,WI,"College,Universities,ProfessionalSchools"
2704,0776 EXTRA SPACE STORA,DC,"Warehousing,Public"
2705,JIMMIE MUSCATELLOS,DC,UniformsandCommercialClothing
2706,FDTEES,MD,"CommercialPhotography,Art&Graphics"
2707,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2708,CROWN REEF RESORT,SC,Hotels-Lodging(NotListedElsewhere)
2709,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2710,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2711,RECREONICS,KY,"SwimmingPools-Sales,Service&Supplies"
2712,WASHINGTON BIZ JOURNAL,VA,"Books,PeriodicalsAndNewspapers"
2713,GALLIHER & HUGUELY ASS,DC,Lumber&BuildingMaterialsStores
2714,SURVEYMONKEY COM,OR,BusinessServicesNotElsewhereClassified
2715,HUBERT COMPANY,OH,"CommercialEquipment,NotElsewhereClassified"
2716,AMERICAN ACAD OF PEDI,IL,"EducationalServices,NotElsewhereClassified"
2717,FALCON EXPRESS TRANSPO,MD,"CourierServices-AirOrGround,FreightForwarders"
2718,FALCON EXPRESS TRANSPO,MD,"CourierServices-AirOrGround,FreightForwarders"
2719,APHA DUES-INTERNET,DC,CharitableAndSocialServiceOrganizations
2720,BAUMGARTEN CO OF WASHI,MD,SpecialtyRetailStores-Miscellaneous
2721,DOMINION ELECTRIC SPLY,DC,ElectricalPartsAndEquipment
2722,USDA GRADUATE SCHOOL R,DC,"EducationalServices,NotElsewhereClassified"
2723,NATIONAL FORUM FOR BLA,DC,SpecialtyRetailStores-Miscellaneous
2724,NATIONAL FORUM FOR BLA,DC,SpecialtyRetailStores-Miscellaneous
2725,"EASTERN LIFT TRUCK CO,",MD,ElectricalPartsAndEquipment
2726,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2727,STAPLES       00115329,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2728,DC BAR,DC,CharitableAndSocialServiceOrganizations
2729,CTX AP270301WJLZ6O31,IL,TravelAgenciesandTourOperators
2730,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
2731,THE HOME DEPOT #2583,DC,HomeSupplyWarehouseStores
2732,RANSAR BUSINESS SERVIC,DC,MiscellaneousPublishingAndPrinting
2733,"V.H.BLACKINTON & CO,",MA,BusinessServicesNotElsewhereClassified
2734,REI*EMS,CT,DirectMarketing-NotElsewhereClassified
2735,USPS 1050050852    QQQ,MD,PostageServices-GovernmentOnly
2736,RADIOSHACK COR00124982,DC,ElectronicSales
2737,RADIOSHACK COR00124982,DC,ElectronicSales
2738,CAPITAL REPORTING CO,DC,ProfessionalServicesNotElsewhereDefined
2739,AMERICAN PAYROLL,TX,BusinessServicesNotElsewhereClassified
2740,MAXIAIDS PO#86048,NY,DirectMarketing-CatalogMerchants
2741,STAR OFFICE PRODUCTS,DC,"Stationery,Office&SchoolSupplyStores"
2742,MARK-RITE CORP,IN,BusinessServicesNotElsewhereClassified
2743,THOMPSN PUBL/800-677-3,FL,BusinessServicesNotElsewhereClassified
2744,MIMH,MO,"College,Universities,ProfessionalSchools"
2745,DATANET SYSTEMS CORP,DC,"Computers,ComputerPeripheralEquipment,Software"
2746,DATANET SYSTEMS CORP,DC,"Computers,ComputerPeripheralEquipment,Software"
2747,SELECT COMMUNICATIONS,VA,TelecommunicationsEquipmentIncl.TelephoneSales
2748,COLLIFLOWER INC - 03,MD,BusinessServicesNotElsewhereClassified
2749,MID-ATLANTIC SHREDDING,MD,BusinessServicesNotElsewhereClassified
2750,TASH CLEANERS,DC,DryCleaners
2751,"SC  ELECTRONIC, INC",IL,DataProcessingServices
2752,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2753,DESKMATE OFFICE PRODUC,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2754,PBGFS 6836994003N,CT,BusinessServicesNotElsewhereClassified
2755,DMI* DELL K-12/GOVT,TX,"Computers,ComputerPeripheralEquipment,Software"
2756,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2757,ASSOC SUPERV AND CURR,VA,DirectMarketing-CatalogMerchants
2758,VIEW SYSTEMS INC,MD,ProtectiveServices
2759,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
2760,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2761,WW GRAINGER,DC,"IndustrialSupplies,NotElsewhereClassified"
2762,WW GRAINGER,MD,"IndustrialSupplies,NotElsewhereClassified"
2763,"MAGNOLIA PLUMBING,",DC,"Heating,Plumbing,andAirConditioning"
2764,WPGC RADIO,MD,DirectMarketing-NotElsewhereClassified
2765,NAEYC INTERNET,DC,"MembershipOrganizations,NotElsewhereClassified"
2766,NAEYC INTERNET,DC,"MembershipOrganizations,NotElsewhereClassified"
2767,SHERATON HOTELS,MD,SheratonHotels
2768,ADVANSTAR COMMUNCTNS I,MN,DirectMarketing-Continuity/SubscriptionMerchants
2769,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
2770,TOP HAT PARTY DESIGN,MD,"PersonalServices,NotElsewhereClassified"
2771,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2772,SENODA INC,DC,MiscellaneousPublishingAndPrinting
2773,NABWEB ORG,DC,DataProcessingServices
2774,WASHINGTON COURIER,VA,"CourierServices-AirOrGround,FreightForwarders"
2775,ATLAS PEN & PENCIL,CA,GeneralMerchandise
2776,LASER ART INC,DC,"Stationery,Office&SchoolSupplyStores"
2777,EQUIPMENT & SUPPLY SAL,DC,"ApplianceStores,NotElsewhereClassified"
2778,WATERS CONSULTING GROU,TX,"Management,Consulting&PublicRelationsServices"
2779,STERLING RESOURCE FUND,NY,BusinessServicesNotElsewhereClassified
2780,DELTA     00674047608253,TX,Delta
2781,EMBASSY SUITES-HAMPTON,VA,Hotels-Lodging(NotListedElsewhere)
2782,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2783,NEW SCHOOLS FUND,CA,"EducationalServices,NotElsewhereClassified"
2784,ASSOC FOR FINANCIAL PR,MD,"MembershipOrganizations,NotElsewhereClassified"
2785,METRO STAMP & SEAL CO,MD,"Stationery,Office&SchoolSupplyStores"
2786,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2787,NATIONAL ALLIANCE FOR,DC,BusinessServicesNotElsewhereClassified
2788,NATIONAL ALLIANCE FOR,DC,BusinessServicesNotElsewhereClassified
2789,HUMAN RESOURCE ASSOCIA,VA,"MembershipOrganizations,NotElsewhereClassified"
2790,HUMAN RESOURCE ASSOCIA,VA,"MembershipOrganizations,NotElsewhereClassified"
2791,THE WASHINGTON INFORME,DC,"Books,PeriodicalsAndNewspapers"
2792,NARA NWML TRAINING,MD,"GovernmentServices,NotElsewhereClassified"
2793,UPS*1Z59W0980615677437,GA,"FreightCarriers,Trucking-Local/LongDistance"
2794,UVA-SCPS NORTHERN VA,VA,"College,Universities,ProfessionalSchools"
2795,UVA-SCPS NORTHERN VA,VA,"College,Universities,ProfessionalSchools"
2796,THE HOME DEPOT 2571,MD,HomeSupplyWarehouseStores
2797,INTERIORDIMENSIONSGROU,DC,"Furniture,HomeFurnishingsAndEquipmentStores"
2798,MARSHALLS #0503,MD,FamilyClothingStores
2799,FDTEES,MD,"CommercialPhotography,Art&Graphics"
2800,FDTEES,MD,"CommercialPhotography,Art&Graphics"
2801,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2802,INTERIORDIMENSIONSGROU,DC,"Furniture,HomeFurnishingsAndEquipmentStores"
2803,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
2804,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
2805,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
2806,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
2807,LAWSON PRODUCTS,IL,HardwareEquipmentAndSupplies
2808,BLAYDES LOCK CO INC,DC,BusinessServicesNotElsewhereClassified
2809,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2810,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
2811,TAB PRODUCTS JETER SYS,WI,SpecialtyRetailStores-Miscellaneous
2812,INTERIORDIMENSIONSGROU,DC,"Furniture,HomeFurnishingsAndEquipmentStores"
2813,SIGNS BY TOMORROW,MD,AdvertisingServices
2814,SHOE CITY #270,MD,ShoeStores
2815,SPORTS ZONE 810,MD,SportingGoodsStores
2816,SHERRILL,NC,ProfessionalServicesNotElsewhereDefined
2817,MUNICIPAL EMERGENCY SE,CT,GeneralMerchandise
2818,HYDRAULICS UNLIMITED I,MD,RepairShopsandRelatedServices-Miscellaneous
2819,WIRELESS COMMUNICATION,DC,ElectronicsRepairShops
2820,NASBA (CONFS. & MTGS.),TN,"EducationalServices,NotElsewhereClassified"
2821,BELAIR COMPOSITES (MOT,WA,Lumber&BuildingMaterialsStores
2822,BLOCK AND COMPANY,IL,"Stationery,OfficeSupplies,Printing/WritingPaper"
2823,SHEEHY FORD MARLOW HEI,MD,Automobile&TruckDealer-New&Used
2824,SHOP GARTNERSTUDIOS CO,MN,"Stationery,OfficeSupplies,Printing/WritingPaper"
2825,SI INTERNATIONAL 1,MD,ElectronicSales
2826,BLAYDES LOCK CO INC,DC,BusinessServicesNotElsewhereClassified
2827,STANDARD OFFICE SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2828,OFFICE DEPOT #1220,MD,DirectMarketing-Comb.Catalog&RetailMerchants
2829,THOMAS BUS GULF COAST,TX,"Automotive,Aircraft&FarmEquipDealersnotclass."
2830,STAPLES       00115618,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
2831,BROTHERS SEW & VAC (NE,MD,SpecialtyRetailStores-Miscellaneous
2832,MERIDIAN IMAGING SOLU.,VA,ProfessionalServicesNotElsewhereDefined
2833,YELLOW CAB CO.OF DC,DC,Taxicabs/Limousines
2834,HARPER AND COMPANY INC,VA,"Non-DurableGoods,NotElsewhereClassified"
2835,HARPER AND COMPANY INC,VA,"Non-DurableGoods,NotElsewhereClassified"
2836,,,UnknownVendor
2837,USPS 1050050238    QQQ,DC,PostageServices-GovernmentOnly
2838,SUPERIOR COURIERS LLC,DC,"CourierServices-AirOrGround,FreightForwarders"
2839,PRECISION SMALL ENGINE,MD,AutomotiveServiceShops
2840,CBS*CANONBUS SOLUTIONS,NJ,ElectricalandSmallApplianceRepairShops
2841,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
2842,AMERICAN HARDWARE,MD,HardwareStores
2843,STAPLES DIRECT00209908,CA,"Stationery,OfficeSupplies,Printing/WritingPaper"
2844,STANDARD GRAPHICS MID,VA,"Quick-Copy,ReproductionandBlueprintingServices"
2845,UNIV WIS PYLE CTR,WI,"EducationalServices,NotElsewhereClassified"
2846,WMATA,DC,Local/SuburbanCommuterTransportation
2847,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2848,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2849,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2850,HIPDB NPDB-HIPDB.HRSA.,VA,"GovernmentServices,NotElsewhereClassified"
2851,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2852,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2853,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2854,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2855,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2856,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2857,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2858,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2859,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2860,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2861,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2862,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2863,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2864,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2865,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2866,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2867,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2868,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2869,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2870,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2871,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2872,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2873,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
2874,NPDB NPDB-HIPDB.HRSA.G,VA,"GovernmentServices,NotElsewhereClassified"
